id,vowel,F1,F2,phonation,f0
F18June26_LRRH_1-4716.935-modal,a,908.504,1878.777,modal,307.017
F18June26_LRRH_3-14994.704-modal,a,903.738,1784.945,modal,323.819
F18June26_LRRH_3-22375.766-modal,a,881.299,1864.318,modal,298.064
F18June26_LRRH_3-22497.669-modal,a,720.375,2103.301,modal,216.584
F18June26_LRRH_3-23665.199-modal,a,968.518,1720.569,modal,314.093
F18June26_LRRH_3-24599.583-modal,o,767.808,1014.288,modal,193.185
F18June26_LRRH_3-25928.307-modal,a,858.753,1748.099,modal,240.776
F18June26_LRRH_3-26008.808-modal,i,604.12,2249.225,modal,222.712
F18June26_LRRH_3-26069.382-modal,a,971.728,1870.641,modal,218.359
F18June26_LRRH_3-26690.883-modal,u,547.954,1218.394,modal,255.449
F18June26_LRRH_3-7594.762-modal,a,906.366,1812.268,modal,250.356
F18June26_LRRH_3-9219.592-modal,e,716.212,2108.148,modal,320.719
F19June26_LRRH_1-5318.872-modal,a,935.092,1773.982,modal,266.411
F19June26_LRRH_1-7335.131-modal,a,841.398,1722.665,modal,142.514
F19June26_LRRH_2-221.226-modal,a,810.784,1766.518,modal,207.351
F19June26_LRRH_3-26750.672-modal,a,888.854,1921.31,modal,177.076
F19June26_LRRH_3-30293.606-modal,u,428.457,1215.4,modal,303.377
F19June26_LRRH_3-30785.425-modal,a,830.487,1624.595,modal,198.792
F19June26_LRRH_3-30928.867-modal,a,880.335,1822.203,modal,176.305
F19June26_LRRH_3-31274.246-modal,u,547.973,1254.088,modal,305.986
F19June26_LRRH_3-8764.958-modal,a,894.065,1891.106,modal,158.929
F19June26_LRRH_4-3473.952-modal,i,421.826,2850.769,modal,157.221
F21May14_LRRH_1-10130.49-modal,a,1000.735,1793.922,modal,216.701
F21May14_LRRH_1-7755.55-modal,a,1008.94,1892.505,modal,287.44
F21May14_LRRH_2-514.256-modal,a,996.369,1862.119,modal,303.661
F21May14_LRRH_3-10195.502-modal,a,838.782,1663.632,modal,300.554
F21May14_LRRH_3-18592.314-modal,a,1047.31,1773.825,modal,256.236
F21May14_LRRH_3-31049.432-modal,a,1024.636,1615.094,modal,220.772
F21May14_LRRH_3-32101.936-modal,u,476.69,1352.825,modal,230.988
F21May14_LRRH_4-3742.133-modal,i,412.382,3194.024,modal,224.268
F22May05_LRRH_2-428.385-modal,a,775.968,1682.861,modal,303.809
F22May05_LRRH_3-20822.48-modal,a,893.541,1646.005,modal,268.552
F22May05_LRRH_3-23983.938-modal,a,878.785,1525.696,modal,203.78
F22May05_LRRH_3-27774.988-modal,u,797.418,2882.738,modal,298.783
F22May05_LRRH_3-28321.464-modal,a,839.668,1545.976,modal,221.898
F22May05_LRRH_3-4270.764-modal,a,910.684,1666.521,modal,227.51
F22May05_LRRH_4-791.221-modal,u,416.391,2048.788,modal,298.88
F23April28_LRRH_1-7514.911-modal,ə,636.352,1787.113,modal,198.37
F23April28_LRRH_1-9025.274-modal,a,863.901,1735.566,modal,200.992
F23April28_LRRH_3-26927.642-modal,a,781.855,1865.638,modal,226.911
F23April28_LRRH_3-30695.253-modal,u,510.591,1447.696,modal,249.372
F23April30_LRRH_2-297.762-modal,a,996.172,2403.22,modal,252.277
F23April30_LRRH_3-11629.893-modal,a,881.994,2165.907,modal,208.36
F23April30_LRRH_3-34224.165-modal,u,596.652,2143.194,modal,279.891
F23April30_LRRH_4-3540.474-modal,i,506.731,2629.94,modal,278.544
F23May30_LRRH_1-11991.308-modal,a,1114.36,1855.226,modal,230.659
F23May30_LRRH_1-1622.209-modal,a,1022.631,1839.25,modal,238.336
F23May30_LRRH_1-7482.808-modal,a,1110.008,1976.869,modal,283.049
F23May30_LRRH_1-9511.913-modal,a,1082.075,1839.216,modal,167.392
F23May30_LRRH_2-1467.749-modal,ə,608.294,1985.659,modal,191.986
F23May30_LRRH_2-315.866-modal,a,1081.795,1750.92,modal,247.926
F23May30_LRRH_3-17019.067-modal,a,900.956,1814.36,modal,195.356
F23May30_LRRH_3-20761.645-modal,a,1096.355,1791.018,modal,204.736
F23May30_LRRH_3-25138.377-modal,a,1018.502,1813.161,modal,237.993
F23May30_LRRH_3-28328.099-modal,u,727.621,2367.747,modal,221.36
F23May30_LRRH_3-28739.386-modal,a,866.233,1671.19,modal,175.962
